team,match_key,player_key
Lucknow Super Giants,1304072,ABi3523
Lucknow Super Giants,1304072,JHr515
Lucknow Super Giants,1304072,PCa302
Lucknow Super Giants,1304072,AKn1993
Lucknow Super Giants,1304072,RBi1845
Mumbai Indians,1304072,IKn1380
Mumbai Indians,1304072,RSa605
Mumbai Indians,1304072,DBs3166
Mumbai Indians,1304072,SYv968
Mumbai Indians,1304072,TVa3475
Mumbai Indians,1304072,KPd513
Mumbai Indians,1304072,FAn508
Mumbai Indians,1304072,JUt2172
Mumbai Indians,1304072,MAn3471
Mumbai Indians,1304072,JBh724
Mumbai Indians,1304072,TMs479
Mumbai Indians,1304064,IKn1380
Mumbai Indians,1304064,RSa605
Mumbai Indians,1304064,DBs3166
Mumbai Indians,1304064,SYv968
Mumbai Indians,1304064,TVa3475
Mumbai Indians,1304064,KPd513
Mumbai Indians,1304064,RSh3619
Mumbai Indians,1304064,JUt2172
Mumbai Indians,1304064,MAn3471
Mumbai Indians,1304064,JBh724
Mumbai Indians,1304064,BTi3476
Royal Challengers Bangalore,1304064,FdPs439
Royal Challengers Bangalore,1304064,ARt3591
Royal Challengers Bangalore,1304064,VKi607
Royal Challengers Bangalore,1304064,KKk967
Royal Challengers Bangalore,1304064,GMl156
Royal Challengers Bangalore,1304064,DWy163
Royal Challengers Bangalore,1304064,SAd3567
Royal Challengers Bangalore,1304064,PdSa297
Royal Challengers Bangalore,1304064,HPl969
Royal Challengers Bangalore,1304064,MSj971
Royal Challengers Bangalore,1304064,ADp3604
Chennai Super Kings,1304101,RGd282
Chennai Super Kings,1304101,DCy1382
Chennai Super Kings,1304101,SDe944
Chennai Super Kings,1304101,ARu2333
Chennai Super Kings,1304101,MDi608
Chennai Super Kings,1304101,MAi595
Chennai Super Kings,1304101,RUa1125
Chennai Super Kings,1304101,DBo344
Chennai Super Kings,1304101,SSh3629
Chennai Super Kings,1304101,MTa383
Chennai Super Kings,1304101,MCy3522
Delhi Capitals,1304101,DWr168
Delhi Capitals,1304101,KBt3596
Delhi Capitals,1304101,MMh835
Delhi Capitals,1304101,RPt945
Delhi Capitals,1304101,RPl516
Delhi Capitals,1304101,RPl3630
Delhi Capitals,1304101,APl721
Delhi Capitals,1304101,STr1381
Delhi Capitals,1304101,KYv289
Delhi Capitals,1304101,ANe1413
Delhi Capitals,1304101,KAd1449
Kolkata Knight Riders,1304052,ARe1184
Kolkata Knight Riders,1304052,VIr2222
Kolkata Knight Riders,1304052,SIr720
Kolkata Knight Riders,1304052,NRa286
Kolkata Knight Riders,1304052,SNe348
Kolkata Knight Riders,1304052,SBs162
Kolkata Knight Riders,1304052,SJn3574
Kolkata Knight Riders,1304052,ARl347
Kolkata Knight Riders,1304052,TSe731
Kolkata Knight Riders,1304052,UYv970
Kolkata Knight Riders,1304052,CVn292
Royal Challengers Bangalore,1304052,FdPs439
Royal Challengers Bangalore,1304052,ARt3591
Royal Challengers Bangalore,1304052,VKi607
Royal Challengers Bangalore,1304052,DWy163
Royal Challengers Bangalore,1304052,SRd893
Royal Challengers Bangalore,1304052,SAd3567
Royal Challengers Bangalore,1304052,KKk967
Royal Challengers Bangalore,1304052,PdSa297
Royal Challengers Bangalore,1304052,HPl969
Royal Challengers Bangalore,1304052,MSj971
Royal Challengers Bangalore,1304052,ADp3604
Lucknow Super Giants,1304091,QdKk597
Lucknow Super Giants,1304091,KRl943
Lucknow Super Giants,1304091,DHa1844
Lucknow Super Giants,1304091,MSs171
Lucknow Super Giants,1304091,KPa1178
Lucknow Super Giants,1304091,ABi3523
Lucknow Super Giants,1304091,JHr515
Lucknow Super Giants,1304091,MKn2134
Lucknow Super Giants,1304091,KGm3511
Lucknow Super Giants,1304091,PCa302
Lucknow Super Giants,1304091,RBi1845
Delhi Capitals,1304091,PSw2107
Delhi Capitals,1304091,DWr168
Delhi Capitals,1304091,MMh835
Delhi Capitals,1304091,RPt945
Delhi Capitals,1304091,LYv3543
Delhi Capitals,1304091,RPl516
Delhi Capitals,1304091,APl721
Delhi Capitals,1304091,STr1381
Delhi Capitals,1304091,KYv289
Delhi Capitals,1304091,MRn830
Delhi Capitals,1304091,CSa291
Kolkata Knight Riders,1304087,AFh613
Kolkata Knight Riders,1304087,VIr2222
Kolkata Knight Riders,1304087,SIr720
Kolkata Knight Riders,1304087,BIh3638
Kolkata Knight Riders,1304087,SNe348
Kolkata Knight Riders,1304087,NRa286
Kolkata Knight Riders,1304087,ARl347
Kolkata Knight Riders,1304087,RSh3587
Kolkata Knight Riders,1304087,UYv970
Kolkata Knight Riders,1304087,TSe731
Kolkata Knight Riders,1304087,HRa3639
Delhi Capitals,1304087,PSw2107
Delhi Capitals,1304087,DWr168
Delhi Capitals,1304087,MMh835
Delhi Capitals,1304087,LYv3543
Delhi Capitals,1304087,RPt945
Delhi Capitals,1304087,RPl516
Delhi Capitals,1304087,APl721
Delhi Capitals,1304087,STr1381
Delhi Capitals,1304087,KYv289
Delhi Capitals,1304087,MRn830
Delhi Capitals,1304087,CSa291
Chennai Super Kings,1304068,RGd282
Chennai Super Kings,1304068,RUa1125
Chennai Super Kings,1304068,MAi595
Chennai Super Kings,1304068,SDe944
Chennai Super Kings,1304068,RJa609
Chennai Super Kings,1304068,MDi608
Chennai Super Kings,1304068,ARu2333
Chennai Super Kings,1304068,DBo344
Chennai Super Kings,1304068,CJn164
Chennai Super Kings,1304068,MTa383
Chennai Super Kings,1304068,MCy3522
Royal Challengers Bangalore,1304068,FdPs439
Royal Challengers Bangalore,1304068,ARt3591
Royal Challengers Bangalore,1304068,VKi607
Royal Challengers Bangalore,1304068,GMl156
Royal Challengers Bangalore,1304068,SAd3567
Royal Challengers Bangalore,1304068,SPi3592
Royal Challengers Bangalore,1304068,KKk967
Royal Challengers Bangalore,1304068,PdSa297
Royal Challengers Bangalore,1304068,ADp3604
Royal Challengers Bangalore,1304068,MSj971
Royal Challengers Bangalore,1304068,JHd840
Chennai Super Kings,1304063,RUa1125
Chennai Super Kings,1304063,RGd282
Chennai Super Kings,1304063,MAi595
Chennai Super Kings,1304063,ARu2333
Chennai Super Kings,1304063,SDe944
Chennai Super Kings,1304063,RJa609
Chennai Super Kings,1304063,MDi608
Chennai Super Kings,1304063,DBo344
Chennai Super Kings,1304063,CJn164
Chennai Super Kings,1304063,MTa383
Chennai Super Kings,1304063,MCy3522
Sunrisers Hyderabad,1304063,ASa3461
Sunrisers Hyderabad,1304063,KWn726
Sunrisers Hyderabad,1304063,RTi3462
Sunrisers Hyderabad,1304063,NPn514
Sunrisers Hyderabad,1304063,AMm964
Sunrisers Hyderabad,1304063,SSh3463
Sunrisers Hyderabad,1304063,WSr946
Sunrisers Hyderabad,1304063,BKr287
