city,venue,mapped_venue
Sofia,"National Sports Academy, Sofia","National Sports Academy, Sofia, Sofia"
Karachi,National Stadium,"National Stadium, Karachi"
Hamilton,National Stadium,"National Stadium, Hamilton"
Karachi,"National Stadium, Karachi","National Stadium, Karachi"
Kochi,Nehru Stadium,"Nehru Stadium, Kochi"
Tunbridge Wells,Nevill Ground,"Nevill Ground, Tunbridge Wells"
Johannesburg,New Wanderers Stadium,"New Wanderers Stadium, Johannesburg"
Johannesburg,"New Wanderers Stadium, Johannesburg","New Wanderers Stadium, Johannesburg"
Cape Town,Newlands,"Newlands, Cape Town"
Cape Town,"Newlands, Cape Town","Newlands, Cape Town"
Richmond,Old Deer Park,"Old Deer Park, Richmond"
Manchester,Old Trafford,"Old Trafford, Manchester"
Manchester,"Old Trafford, Manchester","Old Trafford, Manchester"
Bloemfontein,OUTsurance Oval,"OUTsurance Oval, Bloemfontein"
Colombo,P Sara Oval,"P Sara Oval, Colombo"
,Pallekele International Cricket Stadium,"Pallekele International Cricket Stadium, Kandy"
Kandy,Pallekele International Cricket Stadium,"Pallekele International Cricket Stadium, Kandy"
Perth,Perth Stadium,"Perth Stadium, Perth"
Walferdange,Pierre Werner Cricket Ground,"Pierre Werner Cricket Ground, Walferdange"
Guyana,Providence Stadium,"Providence Stadium, Guyana"
Providence,"Providence Stadium, Guyana","Providence Stadium, Guyana"
New Plymouth,Pukekura Park,"Pukekura Park, New Plymouth"
New Plymouth,"Pukekura Park, New Plymouth","Pukekura Park, New Plymouth"
Chandigarh,Punjab Cricket Association IS Bindra Stadium,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali","Punjab Cricket Association Stadium, Mohali, Chandigarh"
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","Punjab Cricket Association Stadium, Mohali, Chandigarh"
Chandigarh,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association Stadium, Mohali, Chandigarh"
Invercargill,Queen's Park,"Queen's Park, Invercargill"
Chesterfield,Queen's Park,"Queen's Park, Chesterfield"
Trinidad,"Queen's Park Oval, Port of Spain","Queen's Park Oval, Port of Spain, Trinidad"
Port of Spain,"Queen's Park Oval, Port of Spain, Trinidad","Queen's Park Oval, Port of Spain, Trinidad"
Chesterfield,"Queen's Park, Chesterfield","Queen's Park, Chesterfield"
Bulawayo,Queens Sports Club,"Queens Sports Club, Bulawayo"
Bulawayo,"Queens Sports Club, Bulawayo","Queens Sports Club, Bulawayo"
Colombo,R Premadasa Stadium,"R Premadasa Stadium, Colombo"
Colombo,"R Premadasa Stadium, Colombo","R Premadasa Stadium, Colombo"
Colombo,"R.Premadasa Stadium, Khettarama","R Premadasa Stadium, Colombo"
Radlett,Radlett Cricket Club,"Radlett Cricket Club, Radlett"
Radlett,"Radlett Cricket Club, Radlett","Radlett Cricket Club, Radlett"
Dehradun,Rajiv Gandhi International Cricket Stadium,"Rajiv Gandhi International Cricket Stadium, Dehradun"
Dehra Dun,"Rajiv Gandhi International Cricket Stadium, Dehradun","Rajiv Gandhi International Cricket Stadium, Dehradun"
Hyderabad,Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Hyderabad"
Hyderabad,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Hyderabad"
Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
,Rawalpindi Cricket Stadium,"Rawalpindi Cricket Stadium, Rawalpindi"
Rawalpindi,Rawalpindi Cricket Stadium,"Rawalpindi Cricket Stadium, Rawalpindi"
Chester-le-Street,Riverside Ground,"Riverside Ground, Chester-le-Street"
Chester-le-Street,"Riverside Ground, Chester-le-Street","Riverside Ground, Chester-le-Street"
Waterloo,"Royal Brussels Cricket Club Ground, Waterloo","Royal Brussels Cricket Club Ground, Waterloo, Waterloo"
Jamaica,"Sabina Park, Kingston","Sabina Park, Kingston, Jamaica"
Kingston,"Sabina Park, Kingston, Jamaica","Sabina Park, Kingston, Jamaica"
Ahmedabad,"Sardar Patel Stadium, Motera","Sardar Patel Stadium, Motera, Ahmedabad"
Rajkot,Saurashtra Cricket Association Stadium,"Saurashtra Cricket Association Stadium, Rajkot"
Rajkot,"Saurashtra Cricket Association Stadium, Rajkot","Saurashtra Cricket Association Stadium, Rajkot"
Jaipur,Sawai Mansingh Stadium,"Sawai Mansingh Stadium, Jaipur"
Jaipur,"Sawai Mansingh Stadium, Jaipur","Sawai Mansingh Stadium, Jaipur"
Nelson,Saxton Oval,"Saxton Oval, Nelson"
Prague,"Scott Page Field, Vinor","Scott Page Field, Vinor, Prague"
Hamilton,Seddon Park,"Seddon Park, Hamilton"
Hamilton,"Seddon Park, Hamilton","Seddon Park, Hamilton"
Potchefstroom,Senwes Park,"Senwes Park, Potchefstroom"
Potchefstroom,"Senwes Park, Potchefstroom","Senwes Park, Potchefstroom"
Raipur,Shaheed Veer Narayan Singh International Stadium,"Shaheed Veer Narayan Singh International Stadium, Raipur"
,Sharjah Cricket Stadium,"Sharjah Cricket Stadium, Sharjah"
Sharjah,Sharjah Cricket Stadium,"Sharjah Cricket Stadium, Sharjah"
Khulna,Sheikh Abu Naser Stadium,"Sheikh Abu Naser Stadium, Khulna"
Khulna,"Sheikh Abu Naser Stadium, Khulna","Sheikh Abu Naser Stadium, Khulna"
